100000
12349,32151
29251,12228
8189,5636
30239,17172
1657,7754
6006,7490
21464,27025
5825,9572
10871,456
26624,8937
20287,30438
14659,9921
5698,3422
25822,14787
30874,3863
17107,4212
2485,29378
25650,19142
28213,13800
23968,1428
20210,21919
23579,24438
5296,29812
24526,30244
20807,11843
17682,8536
24622,16562
15746,10789
16897,31066
1844,20375
7061,28700
15779,25381
22204,26344
30291,18707
30573,4672
10554,10326
3785,25125
25411,24096
7525,27429
6669,11991
9928,28241
23535,6105
20731,20917
12372,13554
13867,12151
5208,9997
12508,10392
991,15821
2006,101
16306,24934
10669,23631
3706,17864
29945,744
9745,32510
30008,12308
3960,4358
21798,4517
25744,29487
1435,6710
20957,17844
4743,18022
5985,4638
21104,32315
24726,4927
21390,12039
10114,27073
26114,457
29793,29786
4180,4192
28777,18262
30012,16683
3610,5391
13780,9675
9760,19898
19577,28897
27730,24281
7561,15766
4252,187
29868,10260
7613,14043
27000,31661
12074,15878
31639,16175
31824,25470
32351,25525
16298,27495
15589,11888
28814,24594
18991,7542
8799,29975
15267,31512
12397,28478
19489,5113
29569,22570
19439,14454
20539,11877
24876,22196
10328,4321
5019,841
16663,22719
3996,1047
17780,17534
10760,17280
29655,5454
29488,14669
12057,26516
20221,7825
31719,14318
18571,25149
11843,21098
13759,24861
4053,10445
7203,7574
1169,11114
6319,16659
6950,28701
18175,13375
13567,32157
32199,2135
99,22454
22984,23155
18859,27249
22583,25147
668,2057
25582,6282
18230,7653
18236,23228
19729,28460
18652,25770
2952,17101
3486,9478
29776,31412
409,13556
1308,11180
12310,141
27856,19756
27745,30521
3446,13476
12971,30454
19183,32729
8780,8009
3056,27979
18118,15763
11120,24340
26786,7082
8902,18791
29668,5536
9082,6681
21629,30398
10275,10231
7434,28500
10637,28574
17521,17519
24282,26916
20247,6369
17711,28867
14641,1935
28218,16388
24795,8057
25382,9728
29557,16466
14325,26559
13976,21831
32477,16480
20562,10628
2002,8318
8173,14170
17933,216
23140,11455
157,28611
6406,11158
9488,27488
532,21078
20327,27648
15967,21572
3456,18196
29097,17246
15493,6787
9725,3854
11505,7648
11523,25951
20847,11805
23774,12834
15227,31195
11210,19474
6131,2453
5691,8607
5080,30860
11889,25999
3360,2099
18447,22694
24509,13973
18065,8459
19050,21615
30856,8926
14418,27658
27765,22078
7727,22122
28749,19970
10197,27536
24021,22929
20194,13500
12757,30391
23279,3597
18236,27825
4729,22645
9164,29741
10151,15678
16067,22264
4552,22536
28963,23820
17364,8665
22902,341
32217,28624
32080,29900
28322,6753
7710,25955
32574,11149
3935,30807
20267,7011
22662,11943
1368,31227
24840,26226
2690,7713
22496,10406
1052,9746
9011,32068
12216,30988
15861,21772
9448,9847
390,16116
15953,21465
28015,925
32669,7621
30417,12097
16204,22916
20132,16425
1918,24447
32085,3415
19878,8347
22365,4020
26677,10533
31643,514
9998,16059
17842,17487
1177,29017
13843,16460
12860,12751
13968,12000
28194,29961
31246,25175
22771,26113
8980,4266
26351,23587
2396,29975
24359,544
3804,1477
21420,19194
16434,5569
8408,21710
5579,6072
25219,24709
23312,8772
13368,28280
6588,1846
